shortcode,caption,alt_text,ocr_text,age_days,likes,comments,collected_at
C8XXDNasUzB,"Recap d’un dia perfecte a @zelhotels 💜🌊

Cafè de benvinguda amb @cafedefinca.eu , trail & fun run pel camí de ronda, welcome pack amb @haanready @lifepro_oficial & @myfoodxevents , ioga amb la @sarajuan__ i que necessari, seguim amb un healthy brunch i una ronda de Q&A amb @thehappyavocadooo i @sportyhangover! I acabem el dia de la millor manera amb una mica de platja i piscina!",,,356,185,15,2025-06-10T16:01:17.324093+00:00
C8KQBx7MyO7,🤌🏼,,,362,31,0,2025-06-10T16:01:18.069032+00:00
C8KL3dmsOWD,"Running is happiness! 🙌🏼

#salomon #salomongenesis @tradeinnofficial @runnerinn.official",,,362,116,6,2025-06-10T16:01:24.948722+00:00
C8FCQ6sMFZy,Del test de les noves #salomongenesis 👟 amb @runnerinn.official @tradeinnofficial,,,364,115,3,2025-06-10T16:01:26.886578+00:00
C79cmipMaD5,"Crew✨ 

Test de @salomon amb @tradeinnofficial @runnerinn.official",,,367,63,1,2025-06-10T16:01:29.278260+00:00
C7mU2lhNVXY,Golden hour run 🌅,,,375,128,0,2025-06-10T16:01:30.129680+00:00
C7mT9KvNWtt,,,,375,25,0,2025-06-10T16:01:30.682208+00:00
C7UOPSWtBPK,"Els divendres de #trailrunning ⛰️🏃🏽‍♀️
T’apuntes??",,,383,72,2,2025-06-10T16:01:32.863057+00:00
C7Mr24QMCgE,Les sortides improvitzades de diumenge!,,,385,39,2,2025-06-10T16:01:37.982761+00:00
C7EUUFdMk6P,El plaer de correr al costat del mar!,,,389,47,2,2025-06-10T16:01:39.908892+00:00
C66JkIDsRfL,"Sunday run Empordà!

Ahir vam fer una sortida des de l’Escala fins a Empúries i tornar, acabant amb un esmorzar al @itscoffeetime_lescala ⚡️
Matí de diumenge molt toop!",,,393,54,2,2025-06-10T16:01:41.182041+00:00
C60y-a4sGKu,,,,395,21,0,2025-06-10T16:01:42.508547+00:00
C6ojMM_My3i,🕺🏽🙌🏼🪩,,,399,65,0,2025-06-10T16:01:43.073077+00:00
C6oi-jms7lX,Community 💜,,,399,89,2,2025-06-10T16:01:44.645251+00:00
C6jGPW2M39W,"Recap d’un abril ple de curses, quilòmetres i somriures! 

1. L’ @anais_tradeinn i la @carlota.d.r a la 10k de la @maratondemadrid 
2. La @silviaaaapg també a la 10k de la Marató de Madrid.
3. La @maarta__g al podi de la @maratoempuries ! 5a classificada femenina i 3a de categoria 🏅a la mitja marató. 
4. La @maarta__g amb la seva merescuda copa! Enhorabona cuca! 
5. La @marinafabri3 i la seva compi a la Mitja Marató d’Empúries! 
6. La @claudia_tarradas i la @judittarradas als 10k de la Marató d’Empúries
7. Seguim amb la Marató d’Empúries amb la @paula.biosca @martacos95 @lauuraverges @neuscasalsd @mcostade @mmarta.ra 
8. La @sonia.samper (2a classificada femenina a la 5k 🏅, vinguent d’una lesió que l’ha aturat unes setmanes) la @paulamanjon @elia.rigau @flor_ssilva i @isa_midwife a la @cursa_montilivi 
9. La @ggumbau11 i l’ @aura_viladelbosch a la cursa del Pinxo & el Panxo! Representant Sisterhood en el món del trail running.",,,402,117,11,2025-06-10T16:01:47.634573+00:00
C6G_UpnsQld,Els Dimecres amb Sisterhood 💜,,,413,43,0,2025-06-10T16:01:50.161935+00:00
C6G-_VWsVMW,,,,413,20,0,2025-06-10T16:01:56.440990+00:00
C55qdMUMQ9n,Girona vibes! 🙌🏼,,,418,76,2,2025-06-10T16:02:00.242709+00:00
C53CmZ5s1iG,Gràcies a @linwoods_espana i a @myfoodxevents per les mostres de llavors que ens van fer arribar per celebrar el primer aniversari de Sisterhood 🍦💜,,,419,44,2,2025-06-10T16:02:02.022477+00:00
C50_FBfsyiq,💜🪻,,,420,89,4,2025-06-10T16:02:03.020004+00:00
C5yDqNUsd-S,"Un breu resum del que va ser la sortida d’ahir per celebrar el primer aniversari de Sisterhood RC 🙌🏼🥳

Vam començar fent un run chill per Sant Daniel, vam anar a esmorzar al @verd_girona i per acabar uns regalets per totes gràcies a @linwoods_espana i @myfoodxevents 🏃🏽‍♀️☕️",,,421,65,5,2025-06-10T16:02:05.714794+00:00
C5qKDdTsNOO,,,,424,19,0,2025-06-10T16:02:07.398494+00:00
C5qJPClsCzV,"De diumenge passat a la @21kpladelestany ✌🏼😁

📸 @silvia_puig.vermeia1973r",,,424,63,1,2025-06-10T16:02:08.361008+00:00
C5inFvqMEio,"Algunes Sisterhood també van anar a córrer la Mitja Marató de Praga @runczech 🏅

Enhorabona noies 💜🙌🏼

#allrunnersarebeautiful",,,427,71,2,2025-06-10T16:02:09.111776+00:00
C5ilnEBMUEZ,També vam estar a la @mediomaratonmadrid 🏃🏽‍♀️🙌🏼,,,427,42,0,2025-06-10T16:02:11.352142+00:00
C5iYJmasJFf,"De diumenge passat a la @21kpladelestany 🏅
Trobar-nos abans de sortir, escalfar i sortir juntes, donar-nos suport durant la cursa, i acabar juntes, és la millor manera de fer una carrera! 
💜💜
(A les fotos ens falten Sisters 😩)",,,427,71,0,2025-06-10T16:02:13.037233+00:00
C5gaarFM0w4,💔,,,427,26,0,2025-06-10T16:02:20.012626+00:00
C5bI-9CsAP1,"Avui a la presentació de la nova SPEED CAP i la col·lecció de running de @buffofficial 🧢
Hem fet una ruta de trail per Girona i una xerrada amb la @nuriapicasoficial 👌🏼
Gràcies @athleticaffair 🙌🏼 com sempre un esdeveniment molt top! 💥",,,430,31,0,2025-06-10T16:02:21.404992+00:00
C5UCS-psZOy,"Avui al Testday de @runnerinn.official per provar les noves Novablast 4 d’ @asicsrunning 
🏃🏽‍♀️💜👟",,,432,116,8,2025-06-10T16:02:25.134858+00:00
C40J9NdsU6g,"Algunes de nosaltres estem preparant la @21kpladelestany 🏃🏼‍♀️🏃🏽‍♀️ 
Quin és el teu pròxim objectiu? 🏅",,,445,42,1,2025-06-10T16:02:29.183214+00:00
